Unnamed: 0,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017),province
20135,ESP,877.6600000000002,43.5528,-5.7231,Coal,4003.64,Asturias
20136,ESP,758.74,39.9427,-3.8548,Gas,1798.46,Toledo
20137,ESP,15.0,41.5485,0.8245,Waste,5.22,Lleida
20138,ESP,18.0,41.8559,-1.9224,Wind,50.55,Soria
20139,ESP,16.334,41.8559,-1.9224,Waste,5.68,Soria
20140,ESP,20.0,37.6167,-4.3225,Biomass,,Cordoba
20141,ESP,360.6,43.0952,-4.0004,Hydro,106.66,Cantabria
20142,ESP,67.6,42.4333,-8.1443,Hydro,134.55,Pontevedra
20143,ESP,533.8,39.8106,3.0913,Coal,2435.05,Illes Balears
20144,ESP,1226.43,41.2117,-6.6856,Hydro,3147.47,Salamanca
20145,ESP,46.5,41.4206,-2.3319,Wind,117.78,Soria
20146,ESP,11.05,41.5406,-1.7166,Wind,23.5,Zaragoza
20147,ESP,786.42,43.2347,-2.7497,Gas,1864.07,Vizcaya
20148,ESP,11.05,42.9362,-4.3083,Wind,23.5,Cantabria
20149,ESP,18.0,42.0357,-6.9054,Wind,43.8,Ourense
20150,ESP,13.5,41.7389,-2.1697,Wind,37.91,Soria
20151,ESP,149.7,37.2281,-3.0511,Solar,316.09,Granada
20152,ESP,346.84,42.8385,-6.5332,Coal,1582.19,Asturias
20153,ESP,56.040000000000006,43.4486,-6.7053,Hydro,88.11,Asturias
20154,ESP,1585.39,36.6721,-5.8164,Gas,3757.89,Cadiz
20155,ESP,43.2,28.0996,-16.680999999999997,Oil,90.0,Santa Cruz de Tenerife
20156,ESP,784.7,42.4194,-2.2511,Gas,1859.99,La Rioja
20157,ESP,67.52,41.798,1.9543,Hydro,85.3,Barcelona
20158,ESP,1990.5,41.2008,0.5679,Nuclear,15902.24,Tarragona
20159,ESP,99.8,39.171,-3.2666,Solar,208.0,Ciudad Real
20160,ESP,49.9,38.812,-7.0587,Solar,100.41,Badajoz
20161,ESP,17.762999999999998,40.0667,-0.2,Gas,42.1,Castellon/Castello
20162,ESP,198.01,39.7799,-5.0876,Hydro,212.59,Toledo
20163,ESP,5.2,38.898,-4.3660000000000005,Solar,10.13,Ciudad Real
20164,ESP,23.0,39.2226,-5.7853,Solar,48.43,Badajoz
20165,ESP,8.8,42.006,-1.692,Solar,15.25,Zaragoza
20166,ESP,6.0,28.163,-16.468,Solar,13.85,Santa Cruz de Tenerife
